"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","962","test_create_board_with_different_names[english]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","592","test_update_board_details","tests","2026-08-10","passed","2026-08-10","TestTrelloUpdate","test_update","",""
"","1036","test_create_board_with_different_names[emoji]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","1010","test_create_board_with_different_names[symbols]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","1469","test_move_card_between_lists","tests","2026-08-10","passed","2026-08-10","TestTrelloUpdate","test_update","",""
"","138","test_request_with_invalid_credentials","tests","2026-08-10","passed","2026-08-10","TestTrelloNegative","test_negative","",""
"","964","test_create_board_with_different_names[cyrillic]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","142","test_create_board_without_auth","tests","2026-08-10","passed","2026-08-10","TestTrelloNegative","test_negative","",""
"","538","test_archive_list","tests","2026-08-10","passed","2026-08-10","TestTrelloLists","test_lists","",""
"","187","test_board_schema_validation","tests","2026-08-10","passed","2026-08-10","TestTrelloSchema","test_schema","",""
"","1102","test_create_board_with_different_names[long_name]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","169","test_create_board_without_name","tests","2026-08-10","passed","2026-08-10","TestTrelloNegative","test_negative","",""
"","908","test_full_trello_workflow","tests","2026-08-10","passed","2026-08-10","TestTrelloWorkflow","test_boards","",""
"","170","test_get_non_existent_board","tests","2026-08-10","passed","2026-08-10","TestTrelloNegative","test_negative","",""
"","692","test_get_all_lists_on_board","tests","2026-08-10","passed","2026-08-10","TestTrelloLists","test_lists","",""
